planning_unit_name,LTWPShortName,env_obj,Specific_goal,Objective,Target,state
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,WB4,Spoonbills,Increase opportunities for colonial waterbird breeding,Waterbird,NSW
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains (Lignum shrublands),Native vegetation,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF1,All recorded fish species,No loss of native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,EF1,Refugia,Provide & protect a diversity of refugia across the landscape,Priority ecosystem function,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,EF2,Habitat,"Create quality instream, floodplain & wetland habitat",Priority ecosystem function,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF2,Australian smelt,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF2,carp gudgeon (species complex),Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF2,flat-headed gudgeon,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF2,dwarf flat-headed gudgeon,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF2,bony herring,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF2,Murray-Darling rainbowfish,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF2,unspecked hardyhead,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF2,mountain galaxias (species complex),Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF2,climbing galaxias,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF2,Stocky galaxias,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF3,southern pygmy perch1,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF3,Murray hardyhead,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF3,olive perchlet,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF3,flathead galaxias,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF3,purple- spotted gudgeon1,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF3,Southern purple-spotted gudgeon,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF4,golden perch,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF4,silver perch,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF4,spangled perch,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF4,Hyrtl-s tandan,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,Murray cod,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,trout cod,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,Macquarie perch,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,northern river blackfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,long-finned eel,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,river blackfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,two-spined blackfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,freshwater catfish (eel-tailed catfish),Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,Murray crayfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,southern pygmy perch,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,purple-spotted gudgeon,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,olive perchlet,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF5,Southern purple-spotted gudgeon,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF6,golden perch,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF6,Murray cod,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF7,flathead galaxias,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF7,Murray hardyhead,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF7,southern pygmy perch,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF7,olive perchlet,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF7,purple-spotted gudgeon,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF8,trout cod,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF8,Macquarie perch,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF8,freshwater catfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF8,two-spined blackfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF8,Murray crayfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF8,purple-spotted gudgeon,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW
Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NF8,olive perchlet,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW
